,date,values
0,2000-01-01,5196.188
1,2001-01-01,5354.623
2,2002-01-01,5476.578
3,2003-01-01,5582.033
4,2004-01-01,5689.982
5,2005-01-01,5816.407
6,2006-01-01,5999.411
7,2007-01-01,6156.652
8,2008-01-01,6301.085
9,2009-01-01,6447.615
10,2010-01-01,6392.097
11,2011-01-01,6510.55
12,2012-01-01,6644.519
13,2013-01-01,6753.804
14,2014-01-01,6889.603
15,2015-01-01,7042.322
16,2016-01-01,7195.475
17,2017-01-01,7337.707
18,2018-01-01,7457.586
19,2019-01-01,7574.39
20,2020-01-01,7694.138
