,date,values
0,2000-01-01,680.942
1,2001-01-01,684.78
2,2002-01-01,688.771
3,2003-01-01,694.672
4,2004-01-01,702.433
5,2005-01-01,708.683
6,2006-01-01,720.756
7,2007-01-01,727.828
8,2008-01-01,738.416
9,2009-01-01,751.296
10,2010-01-01,807.02
11,2011-01-01,823.205
12,2012-01-01,835.471
13,2013-01-01,833.918
14,2014-01-01,836.67
15,2015-01-01,834.916
16,2016-01-01,838.371
17,2017-01-01,840.702
18,2018-01-01,840.372
19,2019-01-01,842.376
20,2020-01-01,846.192
